"","第3列组合","第2列组合","第1列组合"
"1","30-31-32|03-13-23|30-40-41|03-04-14|21-22-32|12-22-23|21-31-41|12-13-14","50-60-70|05-06-07|50-51-52|05-15-25|41-42-52|14-24-25|41-51-52|14-15-25|32-33-34|23-33-43|32-42-43|23-24-34","70-80-81|07-08-18|70-71-72|07-17-27|61-62-72|16-26-27|61-71-72|16-17-27|52-53-63|25-35-36|52-62-63|25-26-36|43-44-45|34-44-54|43-53-63|34-35-36"
"2","30-31-32|03-13-23|30-40-41|03-04-14|21-22-32|12-22-23|21-31-41|12-13-14","50-60-70|05-06-07|50-51-52|05-15-25|41-42-52|14-24-25|41-51-52|14-15-25|32-33-34|23-33-43|32-42-43|23-24-34","70-80-81|07-08-18|70-71-81|07-17-18|61-62-72|16-26-27|61-71-72|16-17-27|52-53-63|25-35-36|52-62-63|25-26-36|43-44-45|34-44-54|43-53-63|34-35-36"
"3","30-31-32|03-13-23|30-40-41|03-04-14|21-22-32|12-22-23|21-31-41|12-13-14","50-60-61|05-06-16|50-51-52|05-15-25|41-42-52|14-24-25|41-51-52|14-15-25|32-33-34|23-33-43|32-42-43|23-24-34","70-80-90|07-08-09|70-71-72|07-17-27|61-62-72|16-26-27|61-71-81|16-17-18|52-53-63|25-35-36|52-62-63|25-26-36|43-44-45|34-44-54|43-53-63|34-35-36"
"4","30-31-32|03-13-23|30-40-41|03-04-14|21-22-32|12-22-23|21-31-41|12-13-14","50-60-61|05-06-16|50-51-52|05-15-25|41-42-52|14-24-25|41-51-52|14-15-25|32-33-34|23-33-43|32-42-43|23-24-34","70-80-81|07-08-18|70-71-72|07-17-27|61-62-72|16-26-27|61-71-81|16-17-18|52-53-63|25-35-36|52-62-63|25-26-36|43-44-45|34-44-54|43-53-63|34-35-36"
"5","30-31-32|03-13-23|30-40-41|03-04-14|21-22-32|12-22-23|21-31-41|12-13-14","50-60-61|05-06-16|50-51-52|05-15-25|41-42-52|14-24-25|41-51-52|14-15-25|32-33-34|23-33-43|32-42-43|23-24-34","70-80-81|07-08-18|70-71-72|07-17-27|61-62-72|16-26-27|61-71-72|16-17-27|52-53-63|25-35-36|52-62-63|25-26-36|43-44-45|34-44-54|43-53-63|34-35-36"
"6","30-31-32|03-13-23|30-40-41|03-04-14|21-22-32|12-22-23|21-31-41|12-13-14","50-60-61|05-06-16|50-51-52|05-15-25|41-42-52|14-24-25|41-51-52|14-15-25|32-33-34|23-33-43|32-42-43|23-24-34","70-80-81|07-08-18|70-71-81|07-17-18|61-62-72|16-26-27|61-71-81|16-17-18|52-53-63|25-35-36|52-62-63|25-26-36|43-44-45|34-44-54|43-53-63|34-35-36"
"7","30-31-32|03-13-23|30-40-41|03-04-14|21-22-32|12-22-23|21-31-41|12-13-14","50-60-61|05-06-16|50-51-52|05-15-25|41-42-52|14-24-25|41-51-52|14-15-25|32-33-34|23-33-43|32-42-43|23-24-34","70-80-81|07-08-18|70-71-81|07-17-18|61-62-72|16-26-27|61-71-72|16-17-27|52-53-63|25-35-36|52-62-63|25-26-36|43-44-45|34-44-54|43-53-63|34-35-36"
"8","30-31-32|03-13-23|30-40-41|03-04-14|21-22-32|12-22-23|21-31-41|12-13-14","50-60-61|05-06-16|50-51-52|05-15-25|41-42-52|14-24-25|41-51-52|14-15-25|32-33-34|23-33-43|32-42-43|23-24-34","70-80-90|07-08-09|70-71-72|07-17-27|61-62-72|16-26-27|61-71-72|16-17-27|52-53-63|25-35-36|52-62-63|25-26-36|43-44-45|34-44-54|43-53-63|34-35-36"
"9","30-31-32|03-13-23|30-40-41|03-04-14|21-22-32|12-22-23|21-31-41|12-13-14","50-60-61|05-06-16|50-51-52|05-15-25|41-42-52|14-24-25|41-51-52|14-15-25|32-33-34|23-33-43|32-42-43|23-24-34","70-80-90|07-08-09|70-71-81|07-17-18|61-62-72|16-26-27|61-71-81|16-17-18|52-53-63|25-35-36|52-62-63|25-26-36|43-44-45|34-44-54|43-53-63|34-35-36"
"10","30-31-32|03-13-23|30-40-41|03-04-14|21-22-32|12-22-23|21-31-41|12-13-14","50-60-61|05-06-16|50-51-52|05-15-25|41-42-52|14-24-25|41-51-52|14-15-25|32-33-34|23-33-43|32-42-43|23-24-34","70-80-90|07-08-09|70-71-81|07-17-18|61-62-72|16-26-27|61-71-72|16-17-27|52-53-63|25-35-36|52-62-63|25-26-36|43-44-45|34-44-54|43-53-63|34-35-36"
